形式,,减速比,1/9,1/13.5,1/24,1/31.6,1/37,1/45,1/57,1/73.6,1/86,1/95,1/133,1/160,1/172,1/201,1/244,1/401,1/501,1/627
"ZYTD-520
(12V-3500R)",空载转速 (r/min),380,255,145,110,93,76,60,47,40,36,26,21,20,17,14,9,7,5
,负载转速 (r/min),315,210,120,90,76,63,50,38,33,30,21,17,16,14,12,7,6,5
,负载力矩 (kgf.cm),0.45,0.6,1,1.2,1.4,1.6,2,2.7,3.1,3.5,4.3,5.2,5.6,6.6,8,10,10,10
"ZYTD-520
(24V-5000R)",空载转速 (r/min),555,370,210,160,135,111,88,68,58,53,38,31,29,25,21,12,10,8
,负载转速 (r/min),460,310,175,130,113,93,73,57,48,44,31,26,24,21,17,11,9,7
,负载力矩 (kgf.cm),0.48,0.63,1,1.3,1.5,1.7,2.1,2.9,3.3,3.7,4.6,5.6,6,7.1,8,10,10,10
回转方向,电源正极接 + 端子,CCW,CW,,CCW,,,CW,,,,,CCW,,,,,CW,,
